Precinct,Bennet,,,Biden,,,Bloomberg,,,Buttigieg,,,Delaney,,,Gabbard,,,Klobuchar,,,Patrick,,,Sanders,,,Steyer,,,Warren,,,Yang,,,Other,,,Uncommitted,,
Newton 2-1,0,0,0,22,26,0.46,0,0,0,22,22,0.345,0,0,0,2,0,0,7,3,0,0,0,0,28,31,0.46,1,0,0,16,18,0.345,2,0,0,0,0,0,2,0,0
Newton 4-1,0,0,0,25,28,0.345,0,0,0,42,45,0.46,0,0,0,0,0,0,27,32,0.345,0,0,0,29,29,0.345,2,0,0,22,25,0.345,5,0,0,4,0,0,5,0,0
Indep/Malaka/Mariposa,0,0,0,19,27,0.345,0,0,0,32,39,0.575,0,0,0,0,0,0,13,0,0,0,0,0,16,17,0.23,0,0,0,12,18,0.23,9,0,0,0,0,0,0,0,0
Clear Creek/Poweshiek,0,0,0,14,14,0.23,0,0,0,23,23,0.345,0,0,0,0,0,0,13,13,0.115,0,0,0,17,17,0.23,0,0,0,13,13,0.115,0,0,0,0,0,0,0,0,0
Des Moines,0,0,0,8,11,0.23,0,0,0,13,19,0.345,0,0,0,0,0,0,7,0,0,0,0,0,15,16,0.345,0,0,0,18,18,0.345,3,0,0,1,0,0,1,0,0
Mound Prairie/Washington,0,0,0,6,0,0,3,0,0,18,27,0.345,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,8,11,0.115,11,14,0.23,4,0,0,0,0,0,0,0,0
Colfax Ward 1,0,0,0,4,0,0,0,0,0,15,16,0.115,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.115,4,6,0.115,1,0,0,7,8,0.115,0,0,0,0,0,0
Newton 3-1,0,0,0,18,27,0.46,0,0,0,24,33,0.575,0,0,0,0,0,0,8,0,0,0,0,0,34,39,0.575,4,0,0,12,0,0,2,0,0,0,0,0,1,4,0
Fairview,0,0,0,28,28,0.46,0,0,0,20,20,0.345,0,0,0,2,0,0,14,17,0.345,0,0,0,15,19,0.345,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0
Colfax Ward 3,0,0,0,2,0,0,0,0,0,4,6,0.23,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.115,0,0,0,2,0,0,3,5,0.115,0,0,0,1,0,0
Newton 3-2,0,0,0,10,10,0.23,0,0,0,26,28,0.46,0,0,0,0,0,0,4,4,0,0,0,0,10,11,0.23,3,0,0,7,0,0,5,10,0.23,0,0,0,0,0,0
Newton 1-1,0,0,0,13,15,0.345,0,0,0,25,27,0.575,0,0,0,0,0,0,9,14,0.23,0,0,0,16,18,0.345,4,0,0,6,0,0,1,0,0,0,0,0,0,0,0
Total,0,0,0,230,249,4.025,3,0,0,365,420,6.325,0,0,0,6,0,0,144,107,1.38,0,0,0,266,281,4.255,38,17,0.23,186,178,2.645,61,33,0.575,5,0,0,10,6,0
Center-Cedar-Maharishi Vedic City,0,0,0,35,0,0,0,0,0,33,43,0.2182,0,0,0,7,0,0,11,0,0,0,0,0,101,114,0.8727,0,0,0,69,85,0.6545,12,0,0,0,0,0,2,0,0
Fairfield 1st Ward,0,0,0,36,50,0.4364,0,0,0,31,0,0,0,0,0,1,0,0,28,0,0,0,0,0,105,125,0.8727,0,0,0,69,98,0.6545,19,0,0,0,0,0,0,0,0
Fairfield 5th Ward,0,0,0,22,0,0,0,0,0,27,40,0.4364,0,0,0,0,0,0,8,0,0,0,0,0,64,67,0.6545,0,0,0,45,54,0.4364,12,0,0,0,0,0,0,0,0
Fairfield 2nd Ward,0,0,0,41,0,0,6,0,0,28,0,0,0,0,0,0,0,0,32,85,0.4364,0,0,0,200,218,1.3091,21,0,0,85,112,0.6545,37,0,0,0,0,0,1,0,0
Fairfield 4th Ward,0,0,0,22,0,0,1,0,0,34,61,0.4364,0,0,0,2,0,0,18,0,0,0,0,0,175,187,0.8727,2,0,0,49,70,0.4364,36,0,0,0,0,0,0,0,0
Fairfield 3rd Ward,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,57,0.6545,0,0,0,15,19,0.2182,4,0,0,0,0,0,0,2,0
Des Moines-Liberty-Libertyville,0,0,0,1,1,0,0,0,0,5,11,0.2182,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Blackhawk-Polk-Packwood,0,0,0,5,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0.2182,3,0,0,7,9,0,0,0,0,0,2,0,0,0,0
Total,0,0,0,163,55,0.4364,8,0,0,164,155,1.3092,0,0,0,11,0,0,101,85,0.4364,0,0,0,717,791,5.4544,26,0,0,341,447,3.0545,121,0,0,0,2,0,3,2,0
IOWA CITY 24,0,0,0,82,0,0,0,0,0,172,211,1.62,0,0,0,2,0,0,25,0,0,0,0,0,117,125,1.215,8,0,0,198,237,2.025,23,0,0,0,0,0,0,0,0
IOWA CITY 18,0,0,0,23,0,0,0,0,0,87,26,0,0,0,0,1,0,0,99,155,0.81,1,0,0,279,313,2.025,2,0,0,293,331,2.025,49,3,0,0,0,0,3,0,0
IOWA CITY 06,0,0,0,39,0,0,0,0,0,65,0,0,0,0,0,0,0,0,71,103,1.215,0,0,0,130,138,1.215,8,0,0,188,220,2.025,6,0,0,4,0,0,2,0,0
HILLS,0,0,0,9,0,0,0,0,0,19,36,0.405,0,0,0,1,0,0,4,0,0,0,0,0,19,29,0.405,2,0,0,12,0,0,2,0,0,0,0,0,0,3,0
OXFORD TOWNSHIP/OXFORD,0,0,0,19,0,0,0,0,0,22,22,0.405,0,0,0,0,0,0,21,21,0.405,0,0,0,30,30,0.405,0,0,0,19,0,0,0,0,0,1,0,0,0,1,0
CEDAR TOWNSHIP,1,0,0,5,3,0,0,0,0,12,12,0,0,0,0,0,0,0,15,22,0.405,0,0,0,20,28,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
GRAHAM TOWNSHIP,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0.405,0,0,0,9,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0
LIBERTY-PLEASANT VALLEY,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,23,0.405,0,0,0,26,38,0.405,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0
BIG GROVE TOWNSHIP,1,0,0,26,29,0.81,2,0,0,35,0,0,0,0,0,0,0,0,34,39,0.81,0,0,0,23,0,0,4,0,0,39,0,0,3,0,0,0,0,0,0,0,0
HARDIN TOWNSHIP,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,13,30,0.405,0,0,0,10,0,0,0,0,0,14,25,0,0,0,0,0,0,0,0,0,0
NL06/MADISON /CCN,0,0,0,39,0,0,0,0,0,97,139,1.62,0,0,0,2,0,0,48,0,0,0,0,0,99,107,1.215,1,0,0,93,105,1.62,16,0,0,0,0,0,0,0,0
IOWA CITY 16,0,0,0,56,0,0,0,0,0,99,138,1.215,0,0,0,0,0,0,61,0,0,0,0,0,171,181,1.62,2,0,0,183,214,1.62,17,0,0,0,0,0,0,0,0
IOWA CITY 21,0,0,0,13,0,0,0,0,0,72,54,0,0,0,0,4,0,0,23,1,0,0,0,0,375,383,2.43,10,0,0,238,269,1.62,45,8,0,0,0,0,5,0,0
IOWA CITY 01,0,0,0,51,0,0,0,0,0,102,110,0.81,0,0,0,0,0,0,118,146,1.215,0,0,0,125,140,1.215,10,0,0,229,247,1.62,15,0,0,0,0,0,0,0,0
IOWA CITY 14,0,0,0,30,0,0,0,0,0,61,79,0.81,0,0,0,2,0,0,33,0,0,0,0,0,166,179,1.215,3,0,0,156,183,1.62,22,0,0,0,0,0,0,0,0
PENN/ EAST LUCAS NORTH,0,0,0,87,0,0,0,0,0,118,156,1.215,0,0,0,1,0,0,112,148,1.215,0,0,0,69,0,0,3,0,0,171,243,1.62,20,0,0,2,0,0,1,0,0
FREMONT-LINCOLN (INCLUDES,0,0,0,8,0,0,0,0,0,22,25,0.405,0,0,0,0,0,0,18,22,0.405,0,0,0,38,38,0.405,7,0,0,18,24,0.405,2,0,0,0,0,0,0,4,0
CORALVILLE 03,0,0,0,34,35,0.405,0,0,0,47,50,0.405,0,0,0,0,0,0,33,43,0.405,0,0,0,48,50,0.405,4,0,0,45,46,0.405,17,0,0,0,0,0,0,4,0
WEST LUCAS TOWNSHIP,0,0,0,13,14,0.405,0,0,0,6,0,0,0,0,0,0,0,0,7,9,0,0,0,0,27,27,0.405,0,0,0,14,23,0.405,7,1,0,0,0,0,0,0,0
UNIVERSITY HEIGHTS,2,0,0,34,0,0,0,0,0,50,60,0.405,0,0,0,0,0,0,46,61,0.405,0,0,0,74,79,0.405,1,0,0,94,96,0.405,11,0,0,0,0,0,0,0,0
SCOTT TWP-WEST BRANCH,0,0,0,12,4,0,0,0,0,26,28,0.405,0,0,0,0,0,0,18,27,0.405,0,0,0,45,48,0.405,0,0,0,39,49,0.405,11,0,0,0,0,0,6,1,0
UNION TOWNSHIP,0,0,0,16,20,0,0,0,0,21,30,0.405,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,4,0,0,26,40,0.405,4,0,0,0,2,0,1,2,0
JEFFERSON EAST/SHUEYVILLE,0,0,0,26,0,0,0,0,0,51,61,0.81,0,0,0,0,0,0,37,51,0.405,0,0,0,25,0,0,1,0,0,45,58,0.81,8,0,0,0,0,0,0,0,0
NORTH LIBERTY 02,0,0,0,30,39,0.405,0,0,0,61,69,0.81,0,0,0,0,0,0,16,0,0,0,0,0,63,72,0.81,2,0,0,68,79,0.81,18,0,0,0,0,0,2,0,0
CORALVILLE 06,0,0,0,81,81,0.81,0,0,0,121,126,0.81,0,0,0,0,0,0,99,99,0.81,0,0,0,86,86,0.81,0,0,0,127,127,0.81,24,0,0,0,0,0,0,19,0
IOWA CITY 15,0,0,0,4,0,0,0,0,0,31,50,0.405,0,0,0,0,0,0,16,0,0,0,0,0,99,110,1.215,0,0,0,73,79,0.81,21,0,0,0,0,0,0,0,0
NORTH LIBERTY 03 (PW),0,0,0,50,66,0.81,0,0,0,108,129,1.215,0,0,0,0,0,0,24,0,0,0,0,0,72,77,0.81,8,0,0,90,104,0.81,32,0,0,0,0,0,0,8,0
CORALVILLE 05,0,0,0,8,0,0,0,0,0,46,67,0.81,0,0,0,0,0,0,29,0,0,0,0,0,138,140,1.215,3,0,0,83,99,0.81,17,0,0,0,0,0,2,0,0
IOWA CITY 07,0,0,0,53,0,0,0,0,0,85,141,1.215,0,0,0,5,0,0,42,0,0,0,0,0,151,168,1.215,2,0,0,101,127,0.81,45,0,0,0,0,0,0,0,0
IOWA CITY 11,0,0,0,21,0,0,0,0,0,65,105,0.81,0,0,0,0,0,0,24,0,0,1,0,0,263,281,1.62,0,0,0,127,149,0.81,59,0,0,4,0,0,2,0,0
NORTH LIBERTY 04,0,0,0,25,33,0.405,0,0,0,32,36,0.405,0,0,0,0,0,0,15,0,0,0,0,0,55,58,0.81,0,0,0,62,68,0.81,10,0,0,0,0,0,0,0,0
CORALVILLE 02,0,0,0,64,70,0,1,0,0,80,87,0.81,0,0,0,3,0,0,88,94,0.81,0,0,0,93,104,0.81,5,0,0,103,111,0.81,30,0,0,0,0,0,2,0,0
NEWPORT TOWNSHIP,0,0,0,63,66,0.405,0,0,0,65,70,0.81,0,0,0,0,0,0,89,103,0.81,0,0,0,40,0,0,8,0,0,81,117,0.81,21,0,0,0,0,0,5,0,0
CLEAR CREEK/TIFFIN,0,0,0,52,58,0.81,0,0,0,79,90,0.81,0,0,0,0,0,0,26,0,0,0,0,0,86,95,0.81,1,0,0,67,81,0.81,18,0,0,0,0,0,1,6,0
CORALVILLE 04,0,0,0,26,0,0,0,0,0,51,66,0.81,0,0,0,1,0,0,18,0,0,0,0,0,109,115,1.215,10,0,0,76,102,0.81,16,0,0,2,0,0,0,0,0
NORTH LIBERTY 01,0,0,0,15,0,0,0,0,0,85,103,1.215,0,0,0,2,0,0,18,0,0,0,0,0,74,81,0.81,0,0,0,67,71,0.81,7,0,0,0,0,0,0,13,0
IOWA CITY 10/ELSW,1,0,0,23,4,0,0,0,0,50,71,0.81,0,0,0,0,0,0,16,0,0,0,0,0,95,105,1.215,0,0,0,74,92,0.81,21,0,0,1,0,0,1,1,0
NORTH LIBERTY 05,0,0,0,20,3,0,0,0,0,56,68,0.81,0,0,0,0,0,0,19,16,0,0,0,0,62,68,0.81,8,7,0,58,75,0.81,14,0,0,0,0,0,0,0,0
IOWA CITY 12/EAST LUCAS SE,2,0,0,24,0,0,0,0,0,45,57,0.81,0,0,0,0,0,0,16,0,0,0,0,0,139,146,1.62,4,0,0,103,126,1.215,11,0,0,0,0,0,0,0,0
IOWA CITY 02,4,0,0,46,0,0,0,0,0,48,0,0,0,0,0,0,0,0,76,140,1.215,0,0,0,131,146,1.62,4,0,0,112,131,1.215,25,0,0,0,0,0,2,0,0
IOWA CITY 08,0,0,0,50,0,0,0,0,0,105,121,1.215,0,0,0,0,0,0,93,114,0.81,0,0,0,78,91,0.81,1,0,0,147,171,1.215,48,0,0,0,0,0,0,0,0
IOWA CITY 09,0,0,0,52,0,0,0,0,0,57,79,0.81,0,0,0,0,0,0,50,0,0,1,0,0,147,160,1.62,13,0,0,119,140,1.215,21,0,0,0,0,0,4,0,0
CORALVILLE 01,0,0,0,26,0,0,0,0,0,67,100,0.81,0,0,0,1,0,0,37,0,0,0,0,0,208,224,1.62,0,0,0,150,169,1.215,35,0,0,0,0,0,5,36,0
IOWA CITY 13,0,0,0,27,0,0,0,0,0,43,69,0.405,0,0,0,0,0,0,27,0,0,0,0,0,159,176,1.215,0,0,0,106,147,1.215,42,0,0,1,0,0,0,0,0
IOWA CITY 22,2,0,0,37,0,0,0,0,0,76,88,0.405,0,0,0,0,0,0,71,89,0.405,0,0,0,160,168,1.215,1,0,0,150,166,1.215,20,0,0,0,0,0,0,0,0
IOWA CITY 05,1,0,0,29,0,0,1,0,0,110,125,0.81,0,0,0,2,0,0,13,0,0,0,0,0,291,313,1.62,0,0,0,209,232,1.215,98,0,0,0,0,0,0,0,0
IOWA CITY 20,0,0,0,19,0,0,0,0,0,79,95,0.81,0,0,0,3,0,0,6,0,0,0,0,0,274,300,1.62,8,0,0,160,176,1.215,66,0,0,0,0,0,2,0,0
IOWA CITY 19,0,0,0,9,0,0,0,0,0,45,0,0,0,0,0,2,0,0,5,0,0,0,0,0,224,236,1.62,0,0,0,101,120,1.215,52,0,0,0,0,0,5,0,0
IOWA CITY 03,1,0,0,10,0,0,0,0,0,62,0,0,0,0,0,0,0,0,13,0,0,0,0,0,196,213,1.62,0,0,0,106,130,1.215,59,0,0,0,0,0,0,0,0
IOWA CITY 04,0,0,0,65,0,0,0,0,0,115,131,0.81,0,0,0,0,0,0,118,158,0.81,0,0,0,165,180,1.215,0,0,0,214,231,1.215,38,0,0,0,0,0,0,15,0
CORALVILLE 07,0,0,0,56,33,0,0,0,0,78,95,0.81,0,0,0,0,0,0,64,74,0.81,0,0,0,80,85,0.81,0,0,0,116,123,1.215,29,0,0,0,0,0,0,0,0
Total,15,0,0,1.63,558,5.265,4,0,0,3.156,3.475,31.185,0,0,0,32,0,0,1.999,1.788,15.795,3,0,0,5.674,5.931,47.79,149,7,0,5.194,5.953,46.98,1.182,12,0,15,2,0,51,113,0
ROHA-ROME/HALE,0,0,0,6,6,0.16,0,0,0,10,10,0.32,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN3-MONTICELLO 3,0,0,0,6,6,0.16,0,0,0,6,9,0.16,0,0,0,0,0,0,6,6,0.16,0,0,0,13,14,0.16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MN4-MONTICELLO 4,0,0,0,12,12,0.16,0,0,0,8,10,0.16,0,0,0,0,0,0,6,7,0.16,0,0,0,7,7,0.16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
RLWS-RICHLAND WASHINGTON,0,0,0,5,0,0,0,0,0,17,18,0.32,0,0,0,3,0,0,4,8,0.16,0,0,0,7,11,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CGLW-CASTLE GRV/LOV/WAYN,0,0,0,20,23,0.48,0,0,0,12,18,0.32,0,0,0,0,0,0,11,14,0.32,0,0,0,13,14,0.16,4,0,0,9,0,0,2,0,0,0,0,0,0,0,0
MN1-MONTICELLO 1,0,0,0,0,0,0,0,0,0,7,7,0.16,0,0,0,2,0,0,6,6,0.16,0,0,0,8,8,0.32,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
GF-GREENFIELD,0,0,0,2,0,0,0,0,0,5,5,0.16,0,0,0,0,0,0,7,9,0.16,0,0,0,5,5,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OX-OXFORD,0,0,0,6,9,0.16,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0.16,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
SGMC-SC GRV/MADISON/CLAY,0,0,0,4,5,0.16,0,0,0,6,6,0.16,0,0,0,0,0,0,7,7,0.16,0,0,0,9,10,0.16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MN2-MONTICELLO 2,0,0,0,11,12,0.16,0,0,0,4,0,0,0,0,0,0,0,0,10,11,0.16,0,0,0,11,12,0.16,0,0,0,9,10,0.16,0,0,0,0,0,0,0,0,0
ANN-ANAMOSA NORTH/CASS,0,0,0,12,14,0.32,0,0,0,15,24,0.48,0,0,0,1,0,0,11,0,0,0,0,0,13,16,0.32,1,0,0,20,21,0.32,2,0,0,0,0,0,0,0,0
FV-FAIRVIEW,0,0,0,11,11,0.16,0,0,0,19,21,0.48,0,0,0,0,0,0,14,20,0.32,0,0,0,5,0,0,4,0,0,13,16,0.32,2,0,0,0,0,0,1,1,0
ANS-ANAMOSA SOUTH/JACKSON,0,0,0,25,29,0.48,0,0,0,31,41,0.8,0,0,0,0,0,0,9,0,0,0,0,0,28,28,0.48,5,0,0,15,18,0.32,4,0,0,0,0,0,2,0,0
Total,0,0,0,120,127,2.4,0,0,0,143,169,3.52,0,0,0,6,0,0,94,95,1.92,0,0,0,128,133,2.56,14,0,0,78,66,1.12,13,0,0,0,0,0,3,4,0
Lafayette/Clear Creek,0,0,0,6,0,0,0,0,0,8,8,0.1143,0,0,0,0,0,0,8,8,0.1143,0,0,0,10,10,0.2286,0,0,0,9,10,0.2286,1,0,0,0,0,0,0,0,0
Jackson,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0.1143,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigourney 3rd Ward,0,0,0,0,0,0,0,0,0,5,6,0.1143,0,0,0,0,0,0,5,7,0.1143,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Benton/Steady Run,0,0,0,1,0,0,0,0,0,12,14,0.1143,0,0,0,0,0,0,10,10,0.1143,0,0,0,5,5,0.1143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sigourney 2nd Ward,0,0,0,8,0,0,0,0,0,10,11,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,6,6,0.1143,0,0,0,6,6,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Engtdsh River/Liberty,0,0,0,7,7,0.1143,0,0,0,6,8,0.1143,0,0,0,0,0,0,4,0,0,0,0,0,17,17,0.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Sigourney 4th Ward,0,0,0,4,0,0,3,0,0,6,10,0.1143,0,0,0,0,0,0,7,13,0.1143,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigourney 1st Ward,0,0,0,5,7,0.1143,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,7,11,0.1143,0,0,0,0,0,0,0,2,0
Sigourney/Plank/Van Buren,0,0,0,7,7,0.1143,0,0,0,5,5,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.1143,0,0,0,0,0,0,0,0,0
What Cheer/Washington,0,0,0,2,3,0.1143,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.1143,0,0,0,4,4,0.1143,0,0,0,0,0,0,1,0,0
Adams,0,0,0,0,0,0,0,0,0,7,9,0.1143,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,4,0.1143,0,0,0,0,0,0,0,1,0
Total,0,0,0,47,31,0.5715,3,0,0,70,77,1.0287,0,0,0,2,2,0.1143,40,39,0.4572,0,0,0,58,49,0.9144,0,0,0,28,35,0.6858,3,0,0,0,0,0,1,5,0
AL1,0,0,0,13,13,0.1778,0,0,0,10,10,0.1778,0,0,0,0,0,0,10,10,0.1778,0,0,0,10,10,0.1778,0,0,0,8,8,0.0889,0,0,0,0,0,0,0,0,0
HB- LY- LN- SF,0,0,0,0,0,0,0,0,0,3,4,0.1778,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0889,0,0,0,2,2,0.0889,1,0,0,0,0,0,0,0,0
GM- RM,0,0,0,8,8,0.1778,0,0,0,5,6,0.0889,0,0,0,0,0,0,6,6,0.0889,0,0,0,3,0,0,0,0,0,4,5,0.0889,0,0,0,0,0,0,0,0,0
AL3,0,0,0,12,12,0.1778,0,0,0,14,14,0.2667,0,0,0,0,0,0,8,8,0.1778,0,0,0,10,10,0.1778,0,0,0,8,8,0.0889,0,0,0,0,0,0,0,0,0
GF- WM,0,0,0,4,4,0.0889,0,0,0,4,8,0.1778,0,0,0,0,0,0,3,3,0.0889,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL4,0,0,0,9,13,0.1778,1,0,0,18,21,0.3556,0,0,0,0,0,0,9,13,0.1778,0,0,0,4,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0
EG- GT- HS- SW,0,0,0,2,2,0.0889,0,0,0,5,6,0.2667,0,0,0,0,0,0,2,2,0.0889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL2,0,0,0,25,25,0.4444,0,0,0,18,19,0.3556,0,0,0,0,0,0,13,16,0.2667,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BF- PT,0,0,0,6,8,0.1778,0,0,0,13,15,0.2667,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN,0,0,0,1,1,0,0,0,0,2,2,0.0889,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BT- FT- UN,0,0,0,9,10,0.1778,0,0,0,10,10,0.1778,0,0,0,0,0,0,8,9,0.1778,0,0,0,10,10,0.1778,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,0,0,0,2,2,0,0,0,0,3,3,0.0889,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LV- SM,0,0,0,0,0,0,0,0,0,6,7,0.0889,0,0,0,0,0,0,7,8,0.0889,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GW- SN,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0889,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR- IV- RV,1,0,0,16,16,0.2667,0,0,0,13,16,0.1778,0,0,0,0,0,0,6,9,0.0889,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Total,1,0,0,108,115,1.9557,1,0,0,125,142,2.7559,0,0,0,0,0,0,75,84,1.5113,0,0,0,53,37,0.6223,8,0,0,29,23,0.3556,4,0,0,0,0,0,3,1,0
Keokuk 3,0,0,0,9,9,0.14,0,0,0,18,19,0.28,0,0,0,0,0,0,1,0,0,0,0,0,14,14,0.14,0,0,0,13,14,0.28,0,0,0,1,0,0,3,0,0
Fort Madison 2,0,0,0,13,16,0.28,0,0,0,36,34,0.56,0,0,0,0,0,0,3,0,0,0,0,0,13,13,0.14,0,0,0,14,15,0.28,0,0,0,0,0,0,0,0,0
Fort Madison 5,0,0,0,24,25,0.42,0,0,0,30,35,0.7,0,0,0,0,0,0,0,0,0,0,0,0,21,31,0.56,2,0,0,4,0,0,10,0,0,0,0,0,0,0,0
Keokuk 4,0,0,0,4,0,0,0,0,0,14,21,0.56,0,0,0,2,0,0,0,0,0,0,0,0,10,10,0.28,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Keokuk 7,0,0,0,22,22,0.28,0,0,0,22,27,0.42,0,0,0,1,0,0,7,13,0.14,0,0,0,15,18,0.28,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0
Fort Madison 1,0,0,0,20,20,0.14,0,0,0,24,24,0.28,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Franktdn/Cedar/Marion/Harison,0,0,0,28,31,0.56,0,0,0,19,25,0.56,0,0,0,0,0,0,10,15,0.28,0,0,0,7,0,0,5,0,0,4,0,0,0,0,0,0,0,0,3,5,0
Green Bay/Washington,0,0,0,21,21,0.42,0,0,0,19,19,0.42,0,0,0,0,0,0,10,15,0.28,0,0,0,9,11,0.28,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,7,7,0.14,0,0,0,18,18,0.28,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0.14,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
Keokuk 6,0,0,0,12,12,0.28,0,0,0,11,12,0.28,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.28,0,0,0,6,6,0.14,1,0,0,0,0,0,0,0,0
Montrose,0,0,0,17,19,0.28,0,0,0,31,31,0.42,0,0,0,0,0,0,12,12,0.14,0,0,0,4,2,0,0,0,0,8,12,0.14,6,4,0,0,0,0,2,0,0
Keokuk 1,2,0,0,3,0,0,0,0,0,24,24,0.28,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.14,3,0,0,14,15,0.14,13,16,0.14,0,0,0,0,0,0
Fort Madison 4,0,0,0,18,18,0.42,0,0,0,17,18,0.42,0,0,0,0,0,0,1,0,0,0,0,0,12,12,0.28,0,0,0,11,11,0.14,11,11,0.28,0,0,0,0,0,0
Keokuk 2,0,0,0,2,0,0,0,0,0,2,4,0.14,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0.42,2,0,0,2,5,0.14,1,0,0,0,0,0,0,0,0
Keokuk 5,0,0,0,11,15,0.28,0,0,0,20,22,0.42,0,0,0,0,0,0,2,0,0,0,0,0,13,14,0.28,5,0,0,10,13,0.14,4,1,0,0,0,0,0,0,0
Charleston/DSM/Van Buren,0,0,0,11,12,0.28,0,0,0,7,7,0.14,0,0,0,0,0,0,5,0,0,0,0,0,8,9,0.14,0,0,0,6,7,0.14,6,8,0.14,0,0,0,0,0,0
Total,2,0,0,222,227,3.92,0,0,0,312,340,6.16,0,0,0,3,0,0,51,55,0.84,0,0,0,198,207,3.64,18,0,0,106,98,1.54,61,40,0.56,1,0,0,13,10,0
